KEY,简体中文,English
设置,设置,Setting,
关,关,OFF,
开,开,ON,
屏幕常亮,屏幕常亮,Screen,
震动,震动,Vibrator,
音效,音效,Sound,
音乐,音乐,BGM,
确定,确定,OK,
取消,取消,Cancel,
提示,提示,Notice,
知道了,知道了,OK,
修改密码,修改密码,Change password,
旧密码,旧密码,Old password,
输入旧密码,输入旧密码,Input old password,
新密码,新密码,New password,
输入新密码,输入新密码,Input new password,
确认密码,确认密码,Confirm password,
提交,提交,Submit,
密码不能为空,密码不能为空,Password empty,
新密码长度在6~18个字符之间,新密码长度在6~18个字符之间,Password length limit between 6 to 8 character,
密码修改成功,密码修改成功,Password change success,
密码修改失败,密码修改失败,Password change failed,
下载,下载,Download,
正在下载,正在下载,Downloading,
下载中,下载中,Downloading,
游戏下载,游戏下载,Downloading,
下载失败，请重试,下载失败，请重试,Download failed，retry,
下载完成,下载完成,Download success,
正在安装,正在安装,Installing,
正在加载,正在加载,Loading,
正在加载游戏,正在加载游戏,Loading game,
加载游戏超时,加载游戏超时,Loading game time out,
检测到新版本，是否下载?,检测到新版本，是否下载?,Has new version，download now?,
等待其它游戏下载完成，请稍候。。。,等待其它游戏下载完成，请稍候。。。,Wait for other game download complete,
下载错误,下载错误,Download error,
重试,重试,Retry,
您已获取管理员权限,您已获取管理员权限,You got root rights,
版本号,版本号,Version,

正在从U盘更新APP，软件安装完毕会自行重启，请稍候,正在从U盘更新APP，软件安装完毕会自行重启，请稍候,Updating APP from U Disk，Auto Restart when install completed,Updating APP from U Disk，Auto Restart when install completed,Updating APP from U Disk，Auto Restart when install completed,Updating APP from U Disk，Auto Restart when install completed,Updating APP from U Disk，Auto Restart when install completed,
正在从U盘更新资源，版本,正在从U盘更新资源，版本,Updating asset from U Disk，Version,Updating asset from U Disk，Version,Updating asset from U Disk，Version,Updating asset from U Disk，Version,Updating asset from U Disk，Version,
请稍候,请稍候,Wait a moment,
无网络,正在搜索网络,No net connect,
立即重试,立即重试,Retry now,
30秒内不再提示,30秒内不再提示,Hide me 30s,
本次不再提示,本次不再提示,Hide me,
获取版本号失败,获取版本号失败,Get version failed,
秒后自动重试,秒后自动重试, second later auto retry,
更新资源,更新资源,Updating resource,
错误,错误,Error,
解压,解压,Unzip,
硬件升级错误，升级过程中硬件无响应,硬件升级错误，升级过程中硬件无响应,Hardware update error，hardware not ack,
检测不到硬件设备,检测不到硬件设备,No hardware detected,
正在安装APP，软件安装完毕会自行重启，请稍候,正在安装APP，软件安装完毕会自行重启，请稍候,Installing APP，Auto restart later
请先初始化机台,请先初始化机台,Machine must be initialize,
后程序自动重启,后程序自动重启, Later APP auto restart,
后硬件自动重启,后硬件自动重启, Later Hardware auto restart,
正在重启，请稍候,正在重启，请稍候,Restarting
密码输入错误，请重新输入,密码输入错误，请重新输入,Password error，Retry
