KEY,简体中文,繁體中文,English
请投币,请投币,請投幣,Coin in please
投币错误,投币错误,投幣錯誤,Coin in error
正在退币,正在退礼,正在退礼,Coins outing
正在退票,正在退票,正在退票,Tickets outing
正在退礼品,正在退礼品，剩余数量 ,正在退禮品，剩餘數量 ,Present outing，Remain
退币错误,缺礼,缺礼,Coin empty
退票错误,缺票,缺票,Ticket empty
退礼品错误,缺礼品,缺禮品,Prize empty
退币错误重启,缺礼，请检查后重启,缺礼，請檢查后重啟,Coin empty，Check and restart
退票错误重启,缺票，请检查后重启,缺票，請檢查后重啟,Ticket empty，Check and restart
退礼品错误重启,缺礼品，请检查后重启，礼品数 ,缺禮品，請檢查后重啟，禮品數 ,Prize empty，Check and restart，Prize amount 
爆机,爆机,爆機,Over max score
自动攻击,自动攻击,自動攻擊,Auto fire
后台管理,后台管理,後台管理,Background manage
参数设置,参数设置,參數設置,Setting
查账,查账,查賬,Check account
退出,退出,退出,Exit
请输入8位密码,请输入8位密码,請輸入8位密碼,Enter password please
难度调整,难度调整,難度調整,Difficulty
场地类型,场地类型,場地類型,Game center style
大,大,大,Big
中,中,中,Middle
小,小,小,Small
普通,普通,普通,Normal
退奖类型,退奖类型,退獎類型,Prize return mode
彩票,彩票,彩票,Ticket
币,币,幣,Coin
礼品,礼品,禮品,Gift
退奖模式,退奖模式,退獎模式,Return mode
累积退奖,累积退奖,累積退獎,Store
即中即退,即中即退,即中即退,Immediate
退奖比例,退奖比例,退獎比例,Prize return rate
币/票/礼品,币/票/礼品,幣/票/禮品,Prizes
票,票,票,Tickets
个,个,個,Prize
投币比例,投币比例,投幣比例,One coin score
彩票比例,彩票比例,彩票比例,One ticket score
礼品比例,礼品比例,禮品比例,One prize score
出票比例,出票比例,出票比例,Tickets one coin
上分比例,上分比例,上分比例,One in score
座位布局,座位布局,座位佈局,Place locate
音量大小,音量大小,音量大小,Volume
关,关,關,Off
语言显示,语言显示,語言顯示,Language
密码设定,密码设定,密碼設定,Password
几币一次,几币几抓(几币),幾幣幾抓(幾幣),How much coin for play
一币几次,几币几抓(几抓),幾幣幾抓(幾抓),How much change to play
1        币,1        币,1        幣,1     coin
1        抓,1        抓,1        抓,1     catch
玩,玩,玩,Play
秒,秒,秒,Sec
猴子分数,猴子分数,猴子分數,Monkey score
小游戏每只,小游戏每只,小遊戲每隻,Mini game
抓捕分数,抓捕分数,抓捕分數,Catch score
倍率选择,倍率选择,倍率選擇,Multiple
报码时间,报码时间,報碼時間,Handover time
报账,报账,報賬,Handover account
清零,清零,清零,Clear account
清零账目,清零账目,清零賬目,Clear account
恢复默认值,恢复默认值,恢復默認值,Default
保存并退出,保存并退出,保存并退出,Save and exit
不保存退出,不保存退出,不保存退出,Exit without save
数据清零,数据清零,數據清零,Account will be cleared
请先清零账目,请先清零账目,請先清零賬目,Clear account before change it
少于8位密码,少于8位密码,少於8位密碼,Password length must be 8
密码错误,密码错误,密碼錯誤,Password error
报账成功,报账成功,報賬成功,Handover success
确认清零，请再按一次,确认清零，请再按一次,確認清零，請再按一次,Click again to clear account
数据已经清零,数据已经清零,數據已經清零,Account already be cleared
清零成功,清零成功,清零成功,Clear account success
分,分,分,Score
人,人,人,Player
报账码生效,报账码生效,報賬碼生效,Password of handover account effective
抽放水码生效,抽放水码生效,抽放水碼生效,Password of difficulty effective
清零码生效,清零码生效,清零碼生效,Password of clear account effective
激活码生效,激活码生效,激活碼生效,Password of active product effective
密码清除,密码清除,密碼清除,Password of clear password effective
转为买卖台,转为买卖台,轉為買賣台,Password of change to sell mode effective
转为公司台,转为公司台,轉為公司台,Password of change to corporation mode effective
未知码,未知码,未知碼,Unknown password
准备进入后台,准备进入后台,準備進入後台,Ready go to background
初始化错误代码,初始化错误代码,初始化錯誤代碼,Initialize error code
通信错误代码,通信错误代码,通信錯誤代碼,Communication error code
运行时间到请延时,运行时间到请延时,運行時間到請延時,Game time up
